Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
2513 Occupational and environmental health professional,QLD,"2,738","91,132","82,963","25,976","22,037","94,689","86,440"
2513 Occupational and environmental health professional,SA,748,"77,804","73,844","20,779","18,747","80,847","76,219"
2513 Occupational and environmental health professional,TAS,213,"74,912","70,631","18,757","16,738","78,294","72,484"
2513 Occupational and environmental health professional,VIC,"2,631","85,929","80,567","24,033","21,469","90,017","84,400"
2513 Occupational and environmental health professional,WA,"2,654","103,715","93,232","31,794","26,869","107,178","96,200"
2514 Optometrist or orthoptist,ACT,69,"86,000","71,340","21,232","18,304","89,591","75,782"
2514 Optometrist or orthoptist,NSW,"1,677","83,947","74,641","18,422","17,368","88,085","78,279"
2514 Optometrist or orthoptist,NT,26,"123,533","105,329","24,081","22,818","130,522","112,159"
2514 Optometrist or orthoptist,QLD,933,"90,922","83,566","20,843","20,001","95,486","86,789"
2514 Optometrist or orthoptist,SA,259,"90,857","89,768","22,270","23,196","95,602","95,121"
2514 Optometrist or orthoptist,TAS,86,"102,119","92,856","21,510","21,259","109,138","96,351"
2514 Optometrist or orthoptist,VIC,"1,402","80,729","72,409","17,427","16,265","84,815","76,104"
2514 Optometrist or orthoptist,WA,363,"96,191","89,099","22,401","22,584","100,643","93,406"
2515 Pharmacist,ACT,425,"73,920","72,647","17,558","17,642","77,814","76,456"
2515 Pharmacist,NSW,"7,076","71,812","63,244","15,647","13,532","76,180","67,014"
2515 Pharmacist,NT,213,"75,979","76,183","19,252","20,324","79,871","78,492"
2515 Pharmacist,QLD,"4,970","69,397","68,071","16,163","15,542","73,256","71,465"
2515 Pharmacist,SA,"1,834","72,975","70,739","16,413","16,423","77,283","74,823"
2515 Pharmacist,TAS,590,"83,224","63,368","15,190","14,106","87,281","66,682"
2515 Pharmacist,VIC,"6,054","70,861","64,917","15,993","14,521","75,398","69,027"
2515 Pharmacist,WA,"2,550","75,395","71,764","16,931","16,581","79,297","75,797"
2519 Other health diagnostic and promotion professionals,ACT,71,"63,140","58,440","15,081","13,489","65,398","61,265"
2519 Other health diagnostic and promotion professionals,NSW,"1,152","63,901","56,514","15,551","12,298","66,412","59,585"
2519 Other health diagnostic and promotion professionals,NT,97,"53,691","52,067","13,144","11,301","55,926","55,563"
2519 Other health diagnostic and promotion professionals,QLD,634,"59,457","55,999","14,446","12,709","62,328","58,734"
2519 Other health diagnostic and promotion professionals,SA,263,"55,407","51,450","12,542","9,888","57,554","52,888"
2519 Other health diagnostic and promotion professionals,TAS,75,"51,547","47,503","10,424","9,736","53,378","50,327"
2519 Other health diagnostic and promotion professionals,VIC,"1,192","56,569","51,758","12,907","10,374","58,816","53,390"
2519 Other health diagnostic and promotion professionals,WA,593,"62,477","56,935","15,544","13,107","64,408","58,474"
2521 Chiropractor or osteopath,ACT,50,"76,988","68,733","18,734","16,831","81,811","74,714"
2521 Chiropractor or osteopath,NSW,873,"65,183","56,398","12,553","9,380","68,027","59,611"
2521 Chiropractor or osteopath,NT,9,"60,838","57,861","12,799","11,140","62,981","59,999"
2521 Chiropractor or osteopath,QLD,457,"72,639","62,782","15,255","11,750","76,021","67,667"
2521 Chiropractor or osteopath,SA,163,"79,221","72,532","16,006","13,601","83,733","77,402"
2521 Chiropractor or osteopath,TAS,48,"101,056","65,647","20,531","9,648","104,697","67,138"
2521 Chiropractor or osteopath,VIC,939,"63,983","57,098","11,297","7,483","67,297","60,859"
2521 Chiropractor or osteopath,WA,278,"82,110","66,062","18,146","10,441","87,152","72,672"
2522 Complementary health therapist,ACT,53,"41,804","35,703","7,670","4,806","43,286","38,784"
2522 Complementary health therapist,NSW,"1,005","46,022","36,283","8,431","4,813","48,161","38,794"
2522 Complementary health therapist,NT,17,"37,111","23,200","8,143","6,161","38,914","23,337"
2522 Complementary health therapist,QLD,670,"41,048","37,368","7,429","5,459","43,487","39,427"
2522 Complementary health therapist,SA,157,"38,931","34,034","6,096","4,142","41,104","36,965"
2522 Complementary health therapist,TAS,59,"35,525","32,074","6,065","3,980","38,455","33,089"
2522 Complementary health therapist,VIC,880,"42,618","34,758","7,450","4,715","44,866","36,825"
2522 Complementary health therapist,WA,341,"42,309","35,645","7,175","4,709","44,373","37,943"
2523 Dental practitioner,ACT,168,"174,692","134,337","44,732","32,331","183,904","145,607"
2523 Dental practitioner,NSW,"2,488","136,881","111,004","31,770","24,000","144,910","118,465"
2523 Dental practitioner,NT,63,"150,574","129,792","38,432","36,904","158,159","138,452"
2523 Dental practitioner,QLD,"2,170","136,901","111,574","35,238","27,310","144,404","117,568"
2523 Dental practitioner,SA,692,"146,431","121,937","32,525","23,088","156,224","129,177"
2523 Dental practitioner,TAS,158,"172,372","144,122","44,419","38,568","180,068","152,648"
2523 Dental practitioner,VIC,"2,169","130,989","96,584","24,724","17,246","140,258","105,494"
2523 Dental practitioner,WA,930,"142,991","122,449","35,120","26,718","154,298","132,105"
2524 Occupational therapist,ACT,269,"65,564","61,339","16,229","14,424","67,935","63,793"
2524 Occupational therapist,NSW,"4,478","61,706","58,603","14,183","12,830","64,273","61,389"
2524 Occupational therapist,NT,126,"74,907","75,393","21,509","21,052","77,807","78,659"
2524 Occupational therapist,QLD,"3,106","63,283","61,210","15,454","14,424","65,888","64,192"
2524 Occupational therapist,SA,"1,229","58,585","56,053","13,370","12,380","61,047","58,342"
2524 Occupational therapist,TAS,280,"57,956","56,765","12,715","11,419","60,241","58,989"
2524 Occupational therapist,VIC,"3,953","56,579","55,155","13,035","11,980","59,257","57,859"
2524 Occupational therapist,WA,"2,395","99,375","55,307","14,274","11,931","102,520","58,076"
2525 Physiotherapist,ACT,451,"72,397","68,002","17,365","15,977","76,387","72,016"
2525 Physiotherapist,NSW,"6,491","65,946","62,832","14,818","13,870","69,699","66,259"
2525 Physiotherapist,NT,134,"81,261","78,172","21,708","20,648","85,291","82,479"
2525 Physiotherapist,QLD,"4,364","67,940","66,199","16,456","15,602","71,506","69,938"
2525 Physiotherapist,SA,"1,785","63,409","60,979","14,150","13,673","67,076","64,867"
2525 Physiotherapist,TAS,403,"63,575","60,691","14,405","13,464","67,547","64,511"
2525 Physiotherapist,VIC,"5,557","64,606","61,146","14,258","13,302","68,310","64,775"
2525 Physiotherapist,WA,"2,567","67,201","64,875","15,513","14,030","70,509","68,485"
2526 Podiatrist,ACT,44,"85,262","81,800","22,931","21,134","89,543","84,841"
2526 Podiatrist,NSW,787,"67,814","62,401","14,384","12,607","71,427","66,353"
2526 Podiatrist,NT,17,"82,585","75,337","20,418","19,451","86,551","76,165"
2526 Podiatrist,QLD,558,"68,772","64,773","15,699","14,748","72,547","68,258"
2526 Podiatrist,SA,297,"66,742","60,653","12,360","10,592","70,320","64,583"
2526 Podiatrist,TAS,86,"65,185","61,618","15,470","14,212","68,571","65,833"
2526 Podiatrist,VIC,984,"59,822","57,014","12,400","10,927","63,442","60,831"
2526 Podiatrist,WA,259,"70,678","64,654","14,901","12,272","74,163","68,789"
2527 Speech professional or audiologist,ACT,128,"64,156","62,988","15,131","14,072","66,808","64,256"
2527 Speech professional or audiologist,NSW,"2,763","65,266","59,001","15,282","12,679","68,215","61,651"
2527 Speech professional or audiologist,NT,79,"65,828","69,096","18,077","19,472","68,472","76,432"
2527 Speech professional or audiologist,QLD,"2,123","65,301","62,322","16,379","14,760","68,312","65,591"
2527 Speech professional or audiologist,SA,785,"63,450","61,000","15,573","13,488","66,649","64,677"
2527 Speech professional or audiologist,TAS,216,"60,276","57,293","14,680","12,666","63,031","61,450"
2527 Speech professional or audiologist,VIC,"2,705","61,214","57,259","13,889","12,046","64,074","60,072"
2527 Speech professional or audiologist,WA,"1,040","62,446","60,512","15,472","14,424","65,122","63,455"
2530 Doctor - specialist - type not specified,NSW,11,"132,087","78,022","34,248","26,280","139,730","86,296"
2530 Doctor - specialist - type not specified,QLD,7,"131,967","83,695","41,778","22,346","136,133","90,057"
2530 Doctor - specialist - type not specified,VIC,12,"149,115","84,430","51,062","28,087","155,702","87,745"
2530 Doctor - specialist - type not specified,WA,7,"153,666","129,577","58,030","50,032","168,432","138,968"
2531 General medical practitioner,ACT,701,"142,157","116,458","41,066","33,646","150,258","124,955"
2531 General medical practitioner,NSW,"10,723","137,010","108,589","37,268","30,674","145,931","117,901"
2531 General medical practitioner,NT,463,"143,684","119,522","47,035","36,620","153,493","127,748"
2531 General medical practitioner,QLD,"6,988","144,116","113,450","43,657","33,180","152,729","122,987"
2531 General medical practitioner,SA,"2,307","138,988","113,031","38,116","32,350","147,814","121,361"
2531 General medical practitioner,TAS,754,"140,183","111,449","39,307","28,819","148,999","119,914"
2531 General medical practitioner,VIC,"8,364","131,615","102,596","35,192","28,160","141,082","112,612"
2531 General medical practitioner,WA,"3,668","155,179","118,812","45,832","35,146","165,931","128,667"
2532 Anaesthetist,ACT,53,"391,157","332,797","104,367","71,546","402,351","359,226"
2532 Anaesthetist,NSW,712,"335,501","292,518","68,794","53,149","348,323","302,880"
2532 Anaesthetist,NT,22,"387,078","382,551","136,577","136,636","408,577","410,639"
2532 Anaesthetist,QLD,746,"386,658","374,150","106,806","101,850","402,313","391,507"
2532 Anaesthetist,SA,269,"341,635","345,729","96,416","89,381","357,013","361,512"
2532 Anaesthetist,TAS,96,"319,855","330,355","87,345","84,681","336,062","347,687"
2532 Anaesthetist,VIC,906,"389,694","380,067","84,919","63,423","406,727","399,565"
2532 Anaesthetist,WA,383,"381,421","376,521","99,122","90,462","408,392","403,259"
2533 Internal medicine specialist,ACT,169,"312,532","282,828","81,315","63,689","325,743","304,362"
2533 Internal medicine specialist,NSW,"2,761","283,577","231,118","63,489","51,045","296,034","242,350"
2533 Internal medicine specialist,NT,81,"257,536","268,435","99,516","105,169","276,057","287,593"
2533 Internal medicine specialist,QLD,"1,515","344,413","318,136","101,876","88,786","361,239","337,065"
2533 Internal medicine specialist,SA,613,"319,042","280,659","77,566","63,926","333,531","297,206"
2533 Internal medicine specialist,TAS,190,"285,517","266,769","88,035","71,495","300,488","277,343"
2533 Internal medicine specialist,VIC,"2,420","277,710","219,308","61,355","44,169","293,511","233,070"
2533 Internal medicine specialist,WA,769,"339,086","319,073","97,523","85,198","364,962","341,005"
2534 Psychiatrist,ACT,51,"214,423","193,993","68,541","58,228","225,227","202,033"
2534 Psychiatrist,NSW,803,"213,160","186,185","58,305","47,661","224,159","197,455"
2534 Psychiatrist,NT,14,"224,285","219,801","88,036","86,628","234,917","231,389"
2534 Psychiatrist,QLD,588,"239,021","225,430","77,805","66,045","251,800","234,635"
2534 Psychiatrist,SA,209,"224,275","209,078","63,967","59,274","235,381","226,085"
2534 Psychiatrist,TAS,59,"206,776","216,482","60,879","43,312","218,028","220,549"
2534 Psychiatrist,VIC,827,"190,829","174,800","52,032","44,428","200,653","182,742"
2534 Psychiatrist,WA,284,"251,809","236,337","91,088","82,750","266,266","251,970"
2535 Surgeon,ACT,64,"379,533","234,154","92,376","79,606","401,627","250,081"
2535 Surgeon,NSW,923,"324,965","213,140","65,881","55,444","340,511","233,341"
2535 Surgeon,NT,33,"363,868","336,122","95,601","71,538","380,158","369,077"
2535 Surgeon,QLD,879,"439,626","365,297","101,398","72,328","458,772","383,794"
2535 Surgeon,SA,351,"405,948","315,649","68,062","52,054","421,805","339,807"
2535 Surgeon,TAS,101,"502,350","404,399","126,932","94,837","528,302","418,768"
2535 Surgeon,VIC,"1,162","396,153","305,128","63,643","48,409","415,031","326,114"
2535 Surgeon,WA,383,"464,973","383,996","100,141","81,020","503,290","409,370"
2539 Other medical practitioners,ACT,528,"212,297","143,614","65,966","44,070","223,791","155,155"
2539 Other medical practitioners,NSW,"8,408","191,161","127,286","50,068","36,799","202,195","137,567"
2539 Other medical practitioners,NT,291,"184,247","141,789","60,672","45,766","195,971","153,861"
2539 Other medical practitioners,QLD,"6,446","209,270","131,219","66,183","42,070","222,005","142,861"
2539 Other medical practitioners,SA,"2,002","211,754","138,345","55,826","39,200","223,135","148,664"
2539 Other medical practitioners,TAS,590,"205,215","128,301","58,083","38,190","216,734","138,449"
2539 Other medical practitioners,VIC,"7,099","205,769","125,114","54,075","33,514","221,398","136,296"
2539 Other medical practitioners,WA,"2,677","236,125","161,554","70,459","48,494","254,466","172,036"
2540 Nurse - type not specified,ACT,14,"59,831","53,611","14,799","12,150","63,050","54,714"
2540 Nurse - type not specified,NSW,163,"51,609","47,178","11,293","9,106","53,940","50,445"
2540 Nurse - type not specified,QLD,118,"57,178","56,193","13,568","12,334","59,956","58,328"
2540 Nurse - type not specified,SA,36,"55,249","49,873","11,494","7,702","57,349","51,994"
2540 Nurse - type not specified,TAS,15,"39,790","43,929","7,838","8,526","40,834","44,329"
2540 Nurse - type not specified,VIC,163,"50,564","48,252","10,490","8,805","52,471","49,703"
2540 Nurse - type not specified,WA,44,"52,488","43,300","13,204","9,299","54,362","44,765"
2541 Midwife,ACT,366,"73,613","72,720","18,770","17,532","76,251","74,989"
2541 Midwife,NSW,"5,447","66,934","66,209","16,930","16,319","69,725","69,129"
2541 Midwife,NT,324,"78,450","80,512","23,064","23,080","81,880","83,612"
2541 Midwife,QLD,"3,876","66,677","66,476","17,108","16,751","69,545","69,197"
2541 Midwife,SA,"1,603","64,232","63,040","15,352","14,973","66,825","65,988"
2541 Midwife,TAS,439,"62,733","60,919","14,939","14,172","65,231","63,638"
2541 Midwife,VIC,"4,814","56,508","55,241","13,216","12,249","59,213","57,913"
2541 Midwife,WA,"2,154","66,445","65,800","16,716","15,873","68,875","68,483"
2542 Nurse educator or researcher,ACT,70,"78,516","79,847","20,518","20,639","82,098","83,652"
2542 Nurse educator or researcher,NSW,"2,090","70,954","72,377","18,647","18,800","74,735","76,114"
2542 Nurse educator or researcher,NT,105,"75,136","77,404","20,783","21,094","80,067","80,633"
2542 Nurse educator or researcher,QLD,"1,285","72,503","74,754","19,077","19,828","76,190","79,090"
2542 Nurse educator or researcher,SA,471,"65,327","63,949","16,172","15,629","68,817","67,394"
2542 Nurse educator or researcher,TAS,137,"63,628","67,724","15,443","16,390","66,604","71,225"
2542 Nurse educator or researcher,VIC,"1,968","62,713","62,042","15,260","14,722","66,461","65,691"
2542 Nurse educator or researcher,WA,721,"68,961","68,474","17,517","16,331","72,119","70,935"
2543 Nursing supervisor or manager,ACT,49,"95,831","95,896","26,940","27,025","100,371","101,550"
2543 Nursing supervisor or manager,NSW,"1,703","82,426","83,521","22,603","22,396","86,055","88,215"
2543 Nursing supervisor or manager,NT,40,"82,859","87,603","25,021","28,050","87,056","97,474"
2543 Nursing supervisor or manager,QLD,860,"80,249","80,860","21,529","21,438","83,538","84,060"
2543 Nursing supervisor or manager,SA,262,"70,888","70,767","18,315","18,050","73,919","74,765"
2543 Nursing supervisor or manager,TAS,80,"71,928","77,419","18,756","19,593","74,629","79,804"
2543 Nursing supervisor or manager,VIC,"1,738","72,613","70,516","18,625","17,451","76,064","74,114"
2543 Nursing supervisor or manager,WA,440,"78,511","73,560","21,335","19,414","81,619","76,399"
2544 Registered nurse,ACT,"4,162","71,511","71,227","18,248","17,828","73,929","73,680"
2544 Registered nurse,NSW,"92,262","62,220","59,305","15,230","13,693","64,798","61,891"
2544 Registered nurse,NT,"3,027","80,088","81,262","22,613","22,632","83,181","84,444"
2544 Registered nurse,QLD,"60,440","63,492","62,360","15,691","14,782","65,957","64,839"
2544 Registered nurse,SA,"23,112","61,944","59,962","14,706","13,634","64,255","62,354"
2544 Registered nurse,TAS,"6,937","60,920","59,655","14,705","13,773","63,095","61,975"
2544 Registered nurse,VIC,"79,258","57,501","55,048","13,347","12,102","60,165","57,798"
2544 Registered nurse,WA,"28,122","66,407","64,840","16,858","15,671","68,792","67,047"
2600 IT professional - type not specified,NSW,5,"71,045","70,547","31,730","35,745","77,621","90,344"
2610 Programmer - type not specified,NSW,6,"81,604","83,723","17,377","16,958","84,129","85,165"
2610 Programmer - type not specified,VIC,8,"92,731","90,870","22,691","22,255","95,564","93,298"
2611 IT business or systems analyst,ACT,"1,198","109,549","100,046","32,692","27,960","112,501","101,985"
2611 IT business or systems analyst,NSW,"10,840","105,969","98,732","30,265","27,564","108,803","101,325"
2611 IT business or systems analyst,NT,77,"95,521","91,108","27,893","25,508","98,304","93,170"
2611 IT business or systems analyst,QLD,"3,105","96,519","90,879","26,755","24,102","98,854","93,074"
2611 IT business or systems analyst,SA,"1,139","86,860","82,732","23,119","21,354","89,041","84,845"
2611 IT business or systems analyst,TAS,194,"81,641","80,888","21,102","20,730","83,605","82,281"
2611 IT business or systems analyst,VIC,"9,491","100,178","93,570","28,558","25,601","103,080","96,397"
2611 IT business or systems analyst,WA,"1,625","103,157","98,432","29,537","26,942","105,657","100,024"
2612 Multimedia specialist or web developer,ACT,241,"84,511","84,927","23,635","22,624","86,709","87,268"
2612 Multimedia specialist or web developer,NSW,"2,613","82,576","78,534","22,025","19,961","84,787","80,499"
2612 Multimedia specialist or web developer,NT,27,"64,896","61,515","16,353","14,353","66,420","63,778"
2612 Multimedia specialist or web developer,QLD,"1,063","71,540","69,085","18,439","16,950","73,402","70,585"
2612 Multimedia specialist or web developer,SA,283,"62,802","63,488","15,064","14,651","64,336","64,710"
2612 Multimedia specialist or web developer,TAS,68,"61,309","61,771","14,757","13,295","62,887","62,482"
2612 Multimedia specialist or web developer,VIC,"2,247","74,333","72,441","19,267","17,982","76,232","74,196"
2612 Multimedia specialist or web developer,WA,347,"76,106","74,316","19,349","18,029","77,798","75,767"
2613 Software and applications programmer,ACT,"4,074","107,364","99,601","31,166","28,174","109,654","101,734"
2613 Software and applications programmer,NSW,"38,131","101,126","93,470","27,960","25,338","103,289","95,455"
2613 Software and applications programmer,NT,168,"99,547","94,367","28,456","26,065","101,520","96,995"
2613 Software and applications programmer,QLD,"11,079","90,966","87,972","24,971","23,262","93,021","89,777"
2613 Software and applications programmer,SA,"4,146","83,127","82,441","21,850","20,955","84,957","84,102"
2613 Software and applications programmer,TAS,676,"79,134","74,990","20,185","18,187","80,667","76,267"
2613 Software and applications programmer,VIC,"28,140","92,500","87,647","25,609","23,111","94,739","89,741"
2613 Software and applications programmer,WA,"5,327","96,181","91,829","26,421","24,494","98,199","93,421"
"2621 Database or systems administrator, or IT security specialist",ACT,"1,529","108,029","99,002","31,603","27,966","110,753","101,224"
"2621 Database or systems administrator, or IT security specialist",NSW,"10,289","96,206","87,552","26,866","23,342","99,023","90,041"
"2621 Database or systems administrator, or IT security specialist",NT,218,"79,229","78,603","22,014","20,505","81,393","80,539"
"2621 Database or systems administrator, or IT security specialist",QLD,"4,788","82,594","78,073","21,642","19,756","84,947","80,422"
"2621 Database or systems administrator, or IT security specialist",SA,"1,715","80,725","77,248","20,541","18,910","82,787","78,839"
"2621 Database or systems administrator, or IT security specialist",TAS,487,"79,056","78,061","19,991","19,302","80,938","79,740"
"2621 Database or systems administrator, or IT security specialist",VIC,"8,442","88,892","81,377","23,924","20,955","91,740","83,952"
"2621 Database or systems administrator, or IT security specialist",WA,"2,686","87,541","82,855","23,962","21,372","89,705","84,847"
2631 Computer network professional,ACT,"1,290","115,304","105,969","34,938","30,332","118,817","109,256"
2631 Computer network professional,NSW,"10,806","101,030","93,007","29,037","25,986","104,472","96,445"
2631 Computer network professional,NT,161,"84,258","76,769","23,659","19,388","86,870","80,421"
2631 Computer network professional,QLD,"3,716","90,701","85,135","24,860","22,561","93,808","87,638"
2631 Computer network professional,SA,"1,390","82,426","80,135","22,097","20,822","85,252","82,763"
2631 Computer network professional,TAS,239,"79,737","75,183","20,734","18,452","82,117","76,734"
2631 Computer network professional,VIC,"8,027","92,812","86,230","26,490","23,305","96,300","89,740"
2631 Computer network professional,WA,"2,371","96,957","88,090","27,625","23,977","99,989","90,511"
2632 IT support or test engineer,ACT,609,"99,583","92,347","29,092","25,662","102,420","95,187"
2632 IT support or test engineer,NSW,"6,772","82,841","76,054","22,632","19,645","85,638","78,637"
2632 IT support or test engineer,NT,100,"71,545","67,151","18,739","16,958","74,375","69,959"
2632 IT support or test engineer,QLD,"1,874","75,085","69,990","19,921","17,214","77,747","72,885"
2632 IT support or test engineer,SA,671,"71,826","69,632","18,018","16,644","74,492","71,826"
2632 IT support or test engineer,TAS,123,"72,123","64,123","18,642","15,078","74,400","67,130"
2632 IT support or test engineer,VIC,"4,764","78,866","72,239","21,148","18,211","81,708","75,105"
2632 IT support or test engineer,WA,"1,075","77,267","71,353","20,127","17,383","79,936","74,093"
2633 Telecommunications engineering professional,ACT,130,"116,643","105,187","35,188","30,344","119,598","106,715"
2633 Telecommunications engineering professional,NSW,"3,118","103,239","100,010","30,376","28,911","106,444","103,111"
2633 Telecommunications engineering professional,NT,22,"93,550","72,933","29,062","18,662","99,867","85,561"
2633 Telecommunications engineering professional,QLD,693,"98,802","95,888","28,380","27,192","102,189","99,681"
2633 Telecommunications engineering professional,SA,242,"99,132","96,871","27,820","26,878","101,549","99,591"
2633 Telecommunications engineering professional,TAS,54,"92,356","90,217","25,154","23,942","94,109","93,060"
2633 Telecommunications engineering professional,VIC,"2,246","102,437","97,038","29,694","27,734","105,409","99,910"
2633 Telecommunications engineering professional,WA,404,"108,692","101,798","32,669","29,013","111,623","103,738"
2711 Barrister,ACT,25,"98,937","68,786","12,618","4,076","104,619","69,981"
2711 Barrister,NSW,554,"137,387","39,450","27,132","4,027","143,546","40,671"
2711 Barrister,NT,17,"112,840","50,262","11,723","2,297","116,468","53,113"
2711 Barrister,QLD,437,"100,236","48,128","16,676","5,254","105,250","49,986"
2711 Barrister,SA,80,"115,732","59,002","23,896","4,723","121,843","60,788"
2711 Barrister,TAS,39,"103,926","52,711","14,858","5,130","109,612","56,029"
2711 Barrister,VIC,371,"103,924","44,051","15,558","3,314","110,434","46,941"
2711 Barrister,WA,170,"88,493","29,756","12,299","2,830","92,344","30,398"
2712 Judicial or other legal professionals,ACT,96,"164,202","92,991","57,180","24,793","168,801","94,588"
2712 Judicial or other legal professionals,NSW,"1,138","205,395","110,420","63,131","28,149","212,400","115,001"
2712 Judicial or other legal professionals,NT,52,"211,672","184,165","74,741","46,610","215,403","187,258"
2712 Judicial or other legal professionals,QLD,553,"197,328","113,894","66,452","30,954","202,971","119,200"
2712 Judicial or other legal professionals,SA,251,"168,755","112,255","56,098","21,768","173,667","114,921"
2712 Judicial or other legal professionals,TAS,63,"183,552","155,898","66,822","35,924","189,890","156,498"
2712 Judicial or other legal professionals,VIC,994,"197,846","99,408","55,578","24,809","202,973","104,796"
2712 Judicial or other legal professionals,WA,349,"189,543","108,347","68,038","30,880","194,402","115,434"
2713 Solicitor,ACT,"1,878","115,744","100,303","33,777","29,773","119,021","103,195"
2713 Solicitor,NSW,"20,522","135,759","101,397","38,551","28,200","139,833","104,710"
2713 Solicitor,NT,469,"102,524","87,483","29,378","25,556","106,076","89,203"
2713 Solicitor,QLD,"9,201","108,038","87,100","30,172","23,759","112,057","89,886"
2713 Solicitor,SA,"2,675","104,719","82,753","27,839","21,612","108,405","85,639"
2713 Solicitor,TAS,687,"98,146","84,151","25,171","20,532","100,882","85,578"
2713 Solicitor,VIC,"13,855","124,909","92,955","34,480","25,276","128,937","96,066"
2713 Solicitor,WA,"4,581","127,754","101,766","37,988","28,881","131,576","104,866"
2721 Counsellor,ACT,295,"58,650","54,436","12,899","10,960","61,271","56,768"
2721 Counsellor,NSW,"4,687","56,529","51,679","12,907","10,712","59,634","54,557"
2721 Counsellor,NT,165,"53,960","50,775","12,735","10,964","56,650","54,024"
2721 Counsellor,QLD,"2,810","52,965","49,064","12,081","10,114","55,516","51,965"
2721 Counsellor,SA,"1,181","53,325","49,595","11,467","9,974","56,003","52,456"
2721 Counsellor,TAS,397,"49,315","45,814","9,850","8,178","51,662","47,191"
2721 Counsellor,VIC,"3,728","51,681","45,602","10,436","8,880","54,372","48,570"
2721 Counsellor,WA,"1,395","51,480","46,910","11,182","9,470","54,115","49,343"
2722 Religious leader,ACT,310,"36,730","27,866","6,385","3,334","40,386","31,900"
2722 Religious leader,NSW,"5,883","33,672","29,137","5,109","3,586","36,915","32,777"
2722 Religious leader,NT,132,"38,711","31,686","6,725","4,460","42,237","36,091"
2722 Religious leader,QLD,"3,382","31,332","26,525","4,740","3,328","34,661","29,870"
2722 Religious leader,SA,"1,260","29,992","25,830","4,227","2,694","33,085","28,438"
2722 Religious leader,TAS,361,"29,283","26,656","3,789","2,950","31,933","29,709"
2722 Religious leader,VIC,"3,794","30,421","25,689","4,468","2,756","33,567","28,611"
2722 Religious leader,WA,"1,732","33,947","28,214","5,634","3,622","37,156","30,901"
2723 Psychologist,ACT,520,"83,400","78,116","20,356","19,376","86,730","81,350"
2723 Psychologist,NSW,"6,185","73,137","69,112","17,585","15,528","76,983","72,729"
2723 Psychologist,NT,139,"77,574","80,120","20,699","19,352","82,121","84,617"
2723 Psychologist,QLD,"3,535","72,702","68,678","17,377","15,738","76,425","72,335"
2723 Psychologist,SA,948,"72,032","67,821","15,575","14,002","75,453","71,356"
2723 Psychologist,TAS,384,"71,381","69,398","15,385","14,468","74,796","73,194"
2723 Psychologist,VIC,"4,988","70,230","64,027","15,191","12,590","73,965","68,067"
2723 Psychologist,WA,"2,214","77,121","72,358","19,470","17,175","81,129","76,543"
2724 Social professionals,ACT,219,"68,904","56,825","16,494","11,793","71,780","60,132"
2724 Social professionals,NSW,"2,405","47,491","40,470","9,095","6,107","50,243","43,575"
2724 Social professionals,NT,177,"38,323","33,086","7,540","4,228","39,403","33,566"
2724 Social professionals,QLD,"1,057","47,030","38,807","9,768","5,768","49,719","41,640"
2724 Social professionals,SA,644,"40,153","31,108","7,378","3,414","42,736","33,980"
2724 Social professionals,TAS,148,"36,399","31,311","6,373","3,754","38,908","33,840"
2724 Social professionals,VIC,"2,305","46,572","39,080","8,860","5,148","49,345","42,209"
2724 Social professionals,WA,642,"48,295","39,348","10,489","5,882","50,949","42,835"
2725 Social worker,ACT,643,"64,979","63,825","15,499","14,848","66,945","65,772"
2725 Social worker,NSW,"11,354","57,420","53,543","13,579","11,795","59,971","56,305"
2725 Social worker,NT,668,"68,551","66,614","17,981","16,956","71,280","69,494"
2725 Social worker,QLD,"6,388","59,841","56,990","14,495","13,366","62,364","59,770"
2725 Social worker,SA,"3,674","58,994","58,031","14,155","13,622","61,108","60,453"
2725 Social worker,TAS,"1,091","56,411","55,005","13,449","12,694","58,421","56,635"
2725 Social worker,VIC,"12,156","54,666","50,255","12,378","10,616","57,156","52,784"
2725 Social worker,WA,"3,791","64,663","61,351","16,354","14,716","67,131","63,985"
"2726 Welfare, recreation or community arts worker",ACT,86,"45,520","43,042","9,954","8,020","47,295","45,942"
"2726 Welfare, recreation or community arts worker",NSW,"2,920","53,314","45,391","11,060","8,548","55,898","48,097"
"2726 Welfare, recreation or community arts worker",NT,179,"53,269","47,734","12,163","9,498","55,383","51,611"
"2726 Welfare, recreation or community arts worker",QLD,865,"52,292","50,656","11,831","10,308","54,533","53,318"
"2726 Welfare, recreation or community arts worker",SA,240,"46,157","43,362","9,711","8,087","48,213","45,261"
"2726 Welfare, recreation or community arts worker",TAS,112,"50,188","45,290","9,385","7,805","51,892","46,591"
"2726 Welfare, recreation or community arts worker",VIC,"2,094","49,943","45,996","10,761","8,779","52,259","48,421"
"2726 Welfare, recreation or community arts worker",WA,667,"51,725","48,881","12,080","9,785","53,521","50,869"
3111 Agricultural technician,ACT,41,"54,872","58,991","12,549","13,274","55,835","59,437"
3111 Agricultural technician,NSW,457,"55,145","53,589","12,822","11,065","57,427","54,771"
3111 Agricultural technician,NT,19,"63,617","60,277","15,126","13,477","66,244","61,302"
3111 Agricultural technician,QLD,429,"52,685","49,674","11,935","9,864","55,245","52,560"
